epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6536.8,0.19236,1.27587,0.93882,0.89675,0.90019,0.96412,0.95914,0.19613,1.02167,0.52878,0.00332887,0.00332887,0.00332887
2,12853.8,0.17107,0.57602,0.89894,0.97117,0.96551,0.99365,0.98413,0.20394,0.54743,0.52408,0.00659625,0.00659625,0.00659625
3,19118.5,0.20074,0.44043,0.90782,0.97142,0.97246,0.99176,0.98489,0.20571,0.3853,0.51517,0.00979763,0.00979763,0.00979763
4,25375.8,0.18877,0.36943,0.90103,0.97071,0.96846,0.99359,0.96602,0.27119,0.39704,0.58183,0.009703,0.009703,0.009703
5,31650,0.1616,0.29599,0.89241,0.99675,0.99636,0.99499,0.99417,0.19728,0.2282,0.5381,0.009604,0.009604,0.009604
6,37961.1,0.14171,0.25068,0.885,0.97717,0.98407,0.99453,0.97913,0.18295,0.24947,0.52068,0.009505,0.009505,0.009505
7,44277.4,0.13137,0.22705,0.8836,0.99474,0.99634,0.99499,0.99418,0.17449,0.22289,0.51735,0.009406,0.009406,0.009406
8,50791.2,0.12109,0.21212,0.88052,0.99858,0.99909,0.99499,0.99349,0.14302,0.16817,0.48904,0.009307,0.009307,0.009307
9,57123.8,0.11445,0.19122,0.87799,0.99549,0.99671,0.99498,0.99493,0.16227,0.1757,0.49197,0.009208,0.009208,0.009208
10,63457.3,0.10802,0.1822,0.87589,0.99948,0.99954,0.995,0.9947,0.14752,0.17334,0.46928,0.009109,0.009109,0.009109
11,69820.5,0.10363,0.17514,0.87361,0.99966,0.99982,0.995,0.99495,0.16773,0.19226,0.51237,0.00901,0.00901,0.00901
12,76168.9,0.09843,0.16359,0.87392,0.99886,0.99917,0.995,0.99486,0.13839,0.17331,0.48133,0.008911,0.008911,0.008911
13,82603.8,0.09405,0.15805,0.8722,0.9992,0.99932,0.995,0.99498,0.1,0.11573,0.43145,0.008812,0.008812,0.008812
14,88899.9,0.09152,0.15618,0.8746,0.99892,0.99946,0.99499,0.99494,0.15323,0.16265,0.48903,0.008713,0.008713,0.008713
15,95358,0.08874,0.1497,0.87174,0.99979,0.99982,0.995,0.9941,0.14167,0.1727,0.48042,0.008614,0.008614,0.008614
16,101701,0.08521,0.14188,0.87294,0.99883,0.99916,0.995,0.98803,0.16958,0.18647,0.50022,0.008515,0.008515,0.008515
17,107966,0.0839,0.14394,0.87176,0.9997,0.99947,0.995,0.99495,0.13638,0.16657,0.46889,0.008416,0.008416,0.008416
18,114241,0.08143,0.14155,0.87051,0.99927,0.99987,0.995,0.995,0.12307,0.13326,0.45231,0.008317,0.008317,0.008317
19,120523,0.08032,0.13733,0.87142,0.99942,0.99943,0.99498,0.99481,0.12551,0.14769,0.4637,0.008218,0.008218,0.008218
20,126841,0.07759,0.13118,0.86805,0.99967,1,0.995,0.99473,0.14098,0.16631,0.47253,0.008119,0.008119,0.008119
21,133128,0.07512,0.12892,0.87283,0.99891,0.99994,0.995,0.99488,0.12571,0.14726,0.45683,0.00802,0.00802,0.00802
22,139453,0.07416,0.12413,0.86924,0.99846,0.99961,0.995,0.99495,0.12066,0.14581,0.45548,0.007921,0.007921,0.007921
23,145929,0.07323,0.12802,0.86898,0.99743,0.99892,0.995,0.99474,0.15363,0.17913,0.4955,0.007822,0.007822,0.007822
24,152190,0.07185,0.12173,0.86994,0.99994,1,0.995,0.99499,0.13157,0.14407,0.46792,0.007723,0.007723,0.007723
25,158473,0.06879,0.11492,0.86821,0.99976,0.99983,0.995,0.995,0.12831,0.15629,0.46046,0.007624,0.007624,0.007624
26,164909,0.0683,0.11728,0.86797,0.99995,1,0.995,0.995,0.1413,0.14579,0.47453,0.007525,0.007525,0.007525
27,171307,0.06748,0.11807,0.86834,0.99987,1,0.995,0.99472,0.1157,0.14223,0.4541,0.007426,0.007426,0.007426
28,177643,0.06584,0.11243,0.86705,0.99992,1,0.995,0.99496,0.123,0.14606,0.45781,0.007327,0.007327,0.007327
29,183933,0.06439,0.10873,0.86841,0.99991,1,0.995,0.995,0.12404,0.1333,0.45466,0.007228,0.007228,0.007228
30,190430,0.06358,0.10853,0.86911,0.99897,0.99958,0.995,0.99497,0.11922,0.14215,0.45695,0.007129,0.007129,0.007129
31,196752,0.06186,0.10681,0.86721,0.9999,1,0.995,0.99499,0.11716,0.13779,0.45122,0.00703,0.00703,0.00703
32,203039,0.06111,0.10284,0.86659,0.99994,1,0.995,0.99497,0.1113,0.14521,0.44526,0.006931,0.006931,0.006931
33,209430,0.06036,0.10454,0.86807,0.99985,0.99953,0.995,0.99495,0.10227,0.14705,0.43441,0.006832,0.006832,0.006832
34,215839,0.06045,0.10784,0.86495,0.99996,1,0.995,0.995,0.10361,0.14695,0.44242,0.006733,0.006733,0.006733
